index,character,dialogue,episode
340,THREEPIO,I dont like the look of this.,IV
341,HAN,Han Solo.  Im captain of the Millennium Falcon.  Chewie here tells me youre looking for passage to the Alderaan system.,IV
342,BEN,Yes indeed.  If its a fast ship.,IV
343,HAN,Fast ship?  Youve never heard of the Millennium Falcon?,IV
344,BEN,Should I have?,IV
345,HAN,Its the ship that made the Kessel run in less than twelve parsecs!,IV
346,HAN,Ive outrun Imperial starships not the local bulk-cruisers mind you.  Im talking about the big Corellian ships now.  Shes fast enough for you old man.  Whats the cargo?,IV
347,BEN,Only passengers.  Myself the boy two droids and no questions asked.,IV
348,HAN,What is it?  Some kind of local trouble?,IV
349,BEN,Lets just say wed like to avoid any Imperial entanglements.,IV
350,HAN,Well thats the real trick isnt it?  And its going to cost you something extra.  Ten thousand in advance.,IV
351,LUKE,Ten thousand?  We could almost buy our own ship for that!,IV
352,HAN,But whos going to fly it kid!  You?,IV
353,LUKE,You bet I could.  Im not such a bad pilot myself!  We dont have to sit here and listen...,IV
354,BEN,We havent that much with us.  But we could pay you two thousand now plus fifteen when we reach Alderaan.,IV
355,HAN,Seventeen huh!,IV
356,HAN,Okay.  You guys got yourself a ship.  Well leave as soon as youre ready.  Docking bay Ninety-four.,IV
357,BEN,Ninety-four.,IV
358,HAN,Looks like somebodys beginning to take an interest in your handiwork.,IV
359,TROOPER,All right well check it out.,IV
360,HAN,Seventeen thousand!  Those guys must really be desperate.  This could really save my neck.  Get back to the ship and get her ready.,IV
361,BEN,Youll have to sell your speeder.,IV
362,LUKE,Thats okay.  Im never coming back to this planet again.,IV
363,GREEDO,Going somewhere Solo?,IV
364,HAN,Yes Greedo.  As a matter of fact I was just going to see your boss.  Tell Jabba that Ive got his money.,IV
365,GREEDO,Its too late.  You should have paid him when you had the chance.  Jabbas put a price on your head so large that every bounty hunter in the galaxy will be looking for you.  Im lucky I found you first.,IV
366,HAN,Yeah but this time I got the money.,IV
367,GREEDO,If you give it to me I might forget I found you.,IV
368,HAN,I dont have it with me.  Tell Jabba...,IV
